År;Område;Kr/månad per kvadratmeter bostadsyta;Kr/år per kvadratmeter bostadsyta
2018;Stor-Stockholm;102;1 225
2018;Stor-Göteborg;94;1 127
2018;Kommuner i övrigt med mer än 75 000 invånare;90;1 078
2018;Övriga kommuner;81;968
2018;Bostad belägen utanför Stor-Stockholm, Stor-Göteborg samt utanför annan tätort och dess närområden;73;871
2019;Stor-Stockholm;106;1 275
2019;Stor-Göteborg;97;1 165
2019;Kommuner i övrigt med mer än 75 000 invånare;92;1 109
2019;Övriga kommuner;82;989
2019;Bostad belägen utanför Stor-Stockholm, Stor-Göteborg samt utanför annan tätort och dess närområden;74;890
2020;Stor-Stockholm;110;1 321
2020;Stor-Göteborg;100;1 206
2020;Kommuner i övrigt med mer än 75 000 invånare;96;1 155
2020;Övriga kommuner;84;1 013
2020;Bostad belägen utanför Stor-Stockholm, Stor-Göteborg samt utanför annan tätort och dess närområden;76;912
2021;Stor-Stockholm;113;1 353
2021;Stor-Göteborg;102;1 220
2021;Kommuner i övrigt med mer än 75 000 invånare;99;1 183
2021;Övriga kommuner;86;1 037
2021;Bostad belägen utanför Stor-Stockholm, Stor-Göteborg samt utanför annan tätort och dess närområden;78;933
2022;Stor-Stockholm;116;1 398
2022;Stor-Göteborg;105;1 262
2022;Stor-Malmö;110;1 323
2022;Kommuner i övrigt med mer än 75 000 invånare;102;1 219
2022;Övriga kommuner;89;1 069
2022;Bostad belägen utanför Stor-Stockholm, Stor-Göteborg samt utanför annan tätort och dess närområden;80;962
2023;Stor-Stockholm;124;1 485
2023;Stor-Göteborg;111;1 330
2023;Stor-Malmö;118;1 415
2023;Kommuner i övrigt med mer än 75 000 invånare;108;1 293
2023;Övriga kommuner;94;1 131
2023;Bostad belägen utanför Stor-Stockholm, Stor-Göteborg samt utanför annan tätort och dess närområden;85;1 018
2024;Stor-Stockholm;129;1 553
2024;Stor-Göteborg;117;1 400
2024;Stor-Malmö;125;1 497
2024;Kommuner i övrigt med mer än 75 000 invånare;113;1 358
2024;Övriga kommuner;99;1 188
2024;Bostad belägen utanför Stor-Stockholm, Stor-Göteborg samt utanför annan tätort och dess närområden;89;1 069
2025;Stor-Stockholm;138;1 660
2025;Stor-Göteborg;124;1 492
2025;Stor-Malmö;134;1 610
2025;Kommuner i övrigt med mer än 75 000 invånare;122;1 458
2025;Övriga kommuner;106;1 266
2025;Bostad belägen utanför Stor-Stockholm, Stor-Göteborg samt utanför annan tätort och dess närområden;95;1 139
